id,classname,Kingdom,Phylum,Class,Order,Family,Genus,Species,conservation status
0,Turdus-merula,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,T.merula,Least Concern
1,Turdus-philomelos,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,T.philomelos,Least Concern
2,Troglodytes-troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,T.troglodytes,Least Concern
3,Sylvia-atricapilla,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,S.atricapilla,Least Concern
4,Sylvia-communis,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Curruca,C.communis,Least Concern
5,Sylvia-curruca,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Curruca,C.curruca,Least Concern
6,Sylvia-borin,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,S.borin,Least Concern
7,Sonus-naturalis,,,,,,,,Data deficient
8,Strix-aluco,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,S.aluco,Least Concern
9,Parus-major,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,P.major,Least Concern
10,Phylloscopus-trochilus,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,P.trochilus,Least Concern
11,Pyrrhula-pyrrhula,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pyrrhula,P.pyrrhula,Least Concern
12,Phylloscopus-collybita,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,P.collybita,Least Concern
13,Phylloscopus-sibilatrix,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,P.sibilatrix,Least Concern
14,Periparus-ater,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,P.ater,Least Concern
15,Phoenicurus-phoenicurus,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,P.phoenicurus,Least Concern
16,Oriolus-oriolus,Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus,O.oriolus,Least Concern
17,Luscinia-megarhynchos,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,L.megarhynchos,Least Concern
18,Luscinia-svecica,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,L.svecica,Least Concern
19,Loxia-curvirostra,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,L.curvirostra,Least Concern
20,Luscinia-luscinia,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,L.luscinia,Least Concern
21,Linaria-cannabina,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,L.cannabina,Least Concern
22,Locustella-naevia,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,L.naevia,Least Concern
23,Hippolais-icterina,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Hippolais,H.icterina,Least Concern
24,Hirundo-rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,H.rustica,Least Concern
25,Ficedula-hypoleuca,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,F.hypoleuca,Least Concern
26,Glaucidium-passerinum,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,G.passerinum,Least Concern
27,Ficedula-parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,F.parva,Least Concern
28,Fringilla-coelebs,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,F.coelebs,Least Concern
29,Emberiza-calandra,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,E.calandra,Least Concern
30,Emberiza-hortulana,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,E.hortulana,Least Concern
31,Emberiza-schoeniclus,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,E.schoeniclus,Least Concern
32,Emberiza-cirlus,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,E.cirlus,Least Concern
33,Emberiza-citrinella,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,E.citrinella,Least Concern
34,Erithacus-rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,E.rubecula,Data deficient
35,Crex-crex,Animalia,Chordata,Aves,Gruiformes,Rallidae,Crex,C.crex,Data deficient
36,Cuculus-canorus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,C.canorus,Least Concern
37,Chloris-chloris,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,C.chloris,Least Concern
38,Carduelis-carduelis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,C.carduelis,Least Concern
39,Carpodacus-erythrinus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,C.erythrinus,Least Concern
40,Caprimulgus-europaeus,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,C.europaeus,Least Concern
41,Cyanistes-caeruleus,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,C.caeruleus,Least Concern
42,Bubo-bubo,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,B.bubo,Least Concern
43,Alauda-arvensis,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,A.arvensis,Least Concern
44,Acrocephalus-schoenobaenus,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,A.schoenobaenus,Least Concern
45,Aegolius-funereus,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,A.funereus,Least Concern
46,Acrocephalus-palustris,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,A.palustris,Least Concern
47,Acrocephalus-dumetorum,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,A.dumetorum,Least Concern
48,Acrocephalus-arundinaceus,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,A.arundinaceus,Least Concern
49,Athene-noctua,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,A.noctua,Least Concern
